customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2195-ROQXH,Female,1,No,Yes,36,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),93.81,3377.16,No
9248-ZQTCQ,Male,0,Yes,No,18,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,102.04,1836.72,Yes
7340-UDISX,Female,1,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,50.69,2838.64,No
5347-YCKSL,Female,1,Yes,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,95.64,1338.96,No
8779-BJRKO,Female,1,Yes,No,36,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,30.39,1094.04,No
3081-OOFQU,Female,0,Yes,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),67.2,3561.6,No
2466-DUTUL,Female,0,No,No,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),114.61,6303.55,Yes
0349-HKBHF,Female,1,No,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.13,1142.47,No
1734-CVTHY,Male,1,No,Yes,40,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,33.77,1350.8,No
5262-YVVIT,Male,1,Yes,Yes,52,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),69.64,3621.28,No
8771-HWZTN,Male,1,No,No,17,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),47.74,811.58,No
2403-JFXTK,Male,0,No,Yes,28,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),40.35,1129.8,Yes
0742-NIDEQ,Female,1,No,No,51,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),69.67,3553.17,No
1511-MZJRL,Male,1,No,No,22,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),87.08,1915.76,No
2165-HOZDE,Female,1,No,Yes,44,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),69.59,3061.96,No
5323-GLTKQ,Female,1,Yes,Yes,26,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,45.52,1183.52,Yes
0673-MZRXM,Female,0,Yes,Yes,48,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),50.76,2436.48,Yes
1804-DUIIP,Male,1,Yes,No,51,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),57.59,2937.09,No
6768-XBLRE,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,74.56,447.36,No
5737-VGCVQ,Male,1,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.88,974.12,No
4214-YHOHK,Male,1,No,Yes,68,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),35.82,2435.76,No
1886-JPUBN,Female,1,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.27,3537.07,No
8627-OZASH,Male,0,Yes,No,15,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),115.3,1729.5,No
4320-ONAXY,Female,1,Yes,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,50.85,1627.2,No
5639-TFGCK,Male,0,No,Yes,3,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,29.65,88.95,No
7371-UDIUK,Female,0,No,Yes,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,89.84,2515.52,No
0859-ZQHNS,Female,1,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),88.83,710.64,No
0440-TICSC,Male,0,Yes,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,66.76,4272.64,No
9717-OKGCE,Female,1,Yes,Yes,27,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,91.71,2476.17,No
3448-NAXKE,Male,0,Yes,No,4,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,28.94,115.76,No
9275-JNYIO,Male,1,No,No,52,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,20.58,1070.16,No
8683-VSEQL,Female,0,Yes,Yes,56,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,78.34,4387.04,No
7918-UZBGI,Male,1,No,Yes,17,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,113.03,1921.51,No
1328-PFDJI,Male,0,Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,18.37,771.54,No
3089-GAJHQ,Female,0,Yes,No,46,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,69.69,3205.74,No
4845-ZKEZK,Male,0,No,Yes,72,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),67.9,4888.8,Yes
0833-SIXSL,Female,1,Yes,Yes,26,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,92.03,2392.78,No
7138-JXRQE,Female,1,Yes,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.95,197.55,No
6425-HHWCC,Male,1,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,91.49,4574.5,No
2693-PIKJO,Male,1,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.7,773.3,No
8578-TYWEL,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.48,3351.6,No
5505-IYYQA,Female,1,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,71.09,2203.79,No
9691-NQGDZ,Male,1,No,No,4,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),33.58,134.32,No
5201-ZMQSD,Male,1,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),81.28,4226.56,No
2912-KQETR,Female,1,No,Yes,21,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),35.06,736.26,Yes
6854-YTYET,Male,0,Yes,Yes,31,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,37.33,1157.23,No
6699-RKGOX,Male,0,No,Yes,56,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,31.72,1776.32,No
0133-QZBNP,Male,0,Yes,No,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,45.02,2836.26,Yes
3479-LRBMS,Male,0,No,Yes,25,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.89,2297.25,No
8525-EHQVA,Female,1,Yes,Yes,56,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),45.24,2533.44,No
2909-WKZGJ,Female,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.27,1409.45,No
2746-KALEL,Male,1,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),103.81,6332.41,No
6301-XKJML,Male,1,Yes,Yes,60,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),51.45,3087.0,No
6950-SXHVX,Female,1,No,Yes,24,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),45.28,1086.72,No
5737-LJWUT,Female,0,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,111.93,5036.85,No
7602-NGBFY,Female,1,Yes,Yes,72,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),102.38,7371.36,No
0709-UVHTV,Female,1,Yes,No,28,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),76.29,2136.12,No
9653-IZZEO,Male,0,Yes,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),69.46,1875.42,No
0735-KYWEG,Female,1,No,Yes,47,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,68.67,3227.49,No
2157-XFKWM,Male,1,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),51.29,3539.01,Yes
5080-TKMOX,Female,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),96.24,1636.08,No
4881-LPIOS,Female,0,No,No,51,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,51.53,2628.03,No
7646-NTDDI,Female,1,Yes,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,67.5,4320.0,No
4062-MKARF,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.2,1251.2,No
6817-AUJEM,Female,1,Yes,No,28,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,64.06,1793.68,No
9200-BDRDM,Female,0,Yes,No,23,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),77.44,1781.12,No
6974-TPIFA,Male,1,Yes,No,31,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),84.34,2614.54,Yes
0590-HLGRF,Male,0,No,Yes,40,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),93.16,3726.4,No
9572-MEGIH,Female,0,No,No,33,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,59.05,1948.65,No
8212-FFZYD,Female,1,Yes,Yes,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),67.57,3378.5,No
2074-YBFUI,Male,0,Yes,Yes,59,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),40.49,2388.91,No
