customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9907-LSGDV,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,111.01,6771.61,No
9304-LLPJL,Female,0,No,No,40,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,94.59,3783.6,No
5238-UIGDT,Male,1,Yes,No,53,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,111.86,5928.58,No
5845-SXKIO,Male,1,Yes,Yes,57,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,68.01,3876.57,No
1055-OCBSV,Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.06,4356.08,Yes
9685-ZHTLN,Male,0,Yes,Yes,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.08,1214.4,Yes
8028-UXFTP,Male,0,No,No,5,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,50.65,253.25,No
0276-FDKCC,Male,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),87.46,1924.12,No
0675-HGRXH,Male,0,No,No,60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,48.57,2914.2,No
3678-FVOKH,Male,0,Yes,Yes,14,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,80.4,1125.6,No
7870-RVAIO,Male,0,No,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,109.81,7357.27,No
1218-IYJVI,Female,1,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,71.77,789.47,No
8529-STKQF,Male,0,No,Yes,47,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,56.92,2675.24,No
5841-CZGQW,Female,0,No,No,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.11,1184.82,No
9008-GWTMQ,Female,1,No,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),21.11,1351.04,Yes
2513-VUXTN,Female,0,No,No,55,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),25.85,1421.75,No
8290-FDAWO,Male,1,Yes,No,11,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,46.8,514.8,No
8117-JTXPF,Male,1,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.88,917.6,No
7038-NKJFR,Male,1,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),118.5,1303.5,No
7972-CUNQS,Male,0,No,Yes,35,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,114.37,4002.95,No
4366-WAKPQ,Female,1,No,No,25,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),27.34,683.5,Yes
3460-KXUFN,Female,0,Yes,No,38,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,81.17,3084.46,No
4866-VKDZH,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,87.3,5587.2,No
1234-IZNGQ,Male,1,Yes,Yes,4,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),38.4,153.6,Yes
2143-RDYXG,Female,0,Yes,No,40,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),53.85,2154.0,No
2339-VEGUD,Female,1,Yes,No,57,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,86.47,4928.79,No
5065-WLKZW,Female,0,No,No,61,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),109.18,6659.98,No
1164-SCQVQ,Male,1,No,No,59,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),99.26,5856.34,No
5020-GEDBI,Female,0,Yes,Yes,14,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,78.85,1103.9,No
9411-ISXDO,Male,0,No,No,71,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,30.28,2149.88,No
1592-FOKWB,Male,1,No,Yes,63,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,90.36,5692.68,Yes
3879-IMDOC,Male,0,No,Yes,60,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,68.27,4096.2,No
8034-CFTDR,Male,1,No,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,68.94,1585.62,Yes
3421-KKZMT,Female,0,No,No,72,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),58.35,4201.2,No
4488-CAHKM,Female,0,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),65.59,65.59,No
5221-VIGGL,Male,0,Yes,Yes,20,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),63.6,1272.0,No
3415-DFRAB,Male,0,No,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,66.79,2471.23,Yes
0416-GHJNC,Male,1,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,22.53,1396.86,No
4785-ZWTSI,Female,1,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),28.3,481.1,No
1166-HTKUN,Female,0,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.24,1951.68,Yes
9249-VXESM,Female,0,No,No,45,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,54.15,2436.75,Yes
0025-NSFQN,Male,0,No,No,9,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,32.3,290.7,No
4818-HBDCL,Female,0,No,Yes,68,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,50.51,3434.68,No
9892-UMAOK,Male,1,Yes,No,53,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),52.35,2774.55,No
2685-JASKR,Male,1,No,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),73.27,439.62,No
3306-VEEXL,Female,0,No,Yes,15,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),18.87,283.05,Yes
0847-VTHAT,Male,0,Yes,Yes,44,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.91,2196.04,No
1954-ZYVON,Female,0,Yes,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,114.8,8265.6,No
6021-TZGFM,Male,1,Yes,Yes,39,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),81.93,3195.27,No
8797-HHSLS,Male,0,Yes,Yes,28,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,59.3,1660.4,No
0500-ZWXER,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),22.49,1484.34,No
2080-WXKJW,Male,1,Yes,No,44,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),55.32,2434.08,No
3036-EQBRL,Female,1,Yes,Yes,12,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),28.18,338.16,No
6230-LKAQV,Female,1,Yes,Yes,36,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),71.57,2576.52,Yes
8985-KKFZZ,Female,0,No,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,67.93,3532.36,No
3383-XHQWI,Male,1,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),48.99,1077.78,Yes
8324-JPSMA,Female,1,No,No,61,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,109.4,6673.4,No
1026-BNIRD,Female,0,Yes,Yes,42,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,115.54,4852.68,No
5350-RTUIX,Male,1,No,Yes,13,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,73.68,957.84,No
2707-PPKBR,Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,51.17,2865.52,No
9768-ESAOV,Male,1,Yes,No,58,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),83.87,4864.46,No
3091-PPFJG,Female,0,No,Yes,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,112.18,5384.64,No
