customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4982-BUHRY,Female,1,Yes,No,38,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,59.19,2249.22,No
7838-KWUAR,Male,1,Yes,Yes,42,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,48.63,2042.46,No
6123-SEEQY,Female,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),100.93,504.65,No
8625-EWHEY,Male,1,Yes,No,14,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),111.0,1554.0,Yes
3996-CHNNR,Female,1,No,No,25,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),58.92,1473.0,No
9312-JTPWL,Female,0,No,No,52,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,25.9,1346.8,Yes
5789-TNQGW,Female,1,Yes,Yes,72,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,72.32,5207.04,Yes
9822-YLGOL,Male,1,No,Yes,57,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),112.69,6423.33,No
1542-NDBFB,Male,1,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),58.49,2164.13,No
2091-FTPPO,Male,0,Yes,No,45,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.61,2772.45,No
0958-PNGWY,Male,0,No,Yes,58,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),86.6,5022.8,No
2962-DAGZQ,Male,1,Yes,Yes,40,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,109.34,4373.6,No
9718-HKKDF,Female,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,48.79,1902.81,No
5608-OQENS,Female,0,Yes,Yes,71,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),116.66,8282.86,No
5921-DQGJG,Female,1,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),60.29,1688.12,Yes
4165-RDXMH,Female,1,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,107.96,5290.04,No
5161-ZPWHK,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,118.22,4610.58,No
0129-RZLVO,Female,1,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),72.27,289.08,No
8945-BLMYL,Female,0,No,No,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,28.7,1779.4,Yes
4318-JYOWZ,Female,0,Yes,Yes,61,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,34.99,2134.39,No
9924-UYPDR,Male,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,102.74,5753.44,No
9901-CMUBB,Female,1,Yes,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,93.81,2908.11,Yes
8766-LDBBR,Female,1,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),96.04,576.24,No
5595-ULYER,Female,1,No,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,89.43,1699.17,Yes
3851-UMZKY,Male,1,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),92.86,2692.94,No
0268-BUCQJ,Male,0,Yes,Yes,46,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.97,1102.62,Yes
6912-BSNHE,Female,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,26.86,107.44,Yes
9804-TZNWN,Male,0,No,No,55,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,56.23,3092.65,No
