customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0336-ATDPJ,Male,0,No,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),40.82,2571.66,No
9928-ALKLI,Male,1,Yes,No,65,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,23.86,1550.9,Yes
1542-JXOIU,Female,0,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),30.08,1654.4,No
7237-FEVFP,Male,0,No,No,27,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,62.68,1692.36,No
9815-JFRXW,Male,0,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,57.09,3025.77,No
8801-VTQBQ,Female,1,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.6,1983.2,No
6971-FJXCM,Female,1,Yes,No,9,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,78.72,708.48,Yes
3600-HMALI,Male,0,Yes,No,35,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,94.78,3317.3,Yes
8921-GQYMO,Female,0,No,Yes,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),89.78,1077.36,No
8624-LLAAB,Female,0,Yes,No,16,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),102.7,1643.2,No
8525-UZWNU,Female,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),114.0,7866.0,No
2683-CIECE,Male,0,Yes,No,48,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),40.43,1940.64,No
9584-UWDTX,Female,0,No,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.73,142.38,No
