customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7713-MFPOI,Female,1,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.33,421.65,Yes
9358-QWTWZ,Male,1,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),67.42,1618.08,Yes
1179-AJTUF,Female,1,No,Yes,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.3,829.9,No
3037-XNDBF,Male,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),33.27,166.35,No
3353-FNAML,Male,0,No,Yes,32,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.72,951.04,Yes
7962-WXWII,Female,1,No,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),53.53,53.53,No
4487-CYKSJ,Female,1,Yes,Yes,66,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,80.07,5284.62,No
6549-YJGXN,Male,0,No,No,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,102.25,7055.25,No
0925-USBJR,Female,0,Yes,No,43,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,100.36,4315.48,No
6638-RZRSG,Female,0,Yes,No,21,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),99.76,2094.96,Yes
5087-WIGUS,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,18.41,110.46,No
6741-SMHMA,Female,1,Yes,Yes,41,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),74.83,3068.03,No
6728-EUFRR,Male,1,No,Yes,8,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Mailed check,21.34,170.72,No
9920-HAKBQ,Female,0,No,Yes,7,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.09,525.63,Yes
9099-MUFOM,Male,0,Yes,No,54,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,111.56,6024.24,No
8457-XGCHS,Male,1,No,Yes,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),32.92,954.68,Yes
